country_iso3,year,season_precip_total_mm,season_temp_mean_c,precip_m02_mm,temp_m02_c,precip_m03_mm,temp_m03_c,precip_m04_mm,temp_m04_c,precip_m05_mm,temp_m05_c,precip_m06_mm,temp_m06_c
IRN,2011,76.6,15.53,20.0,4.06,37.1,8.4,11.0,15.11,8.5,21.66,0.0,27.68
IRN,2012,94.3,14.03,38.2,1.98,20.9,6.58,29.5,13.96,5.0,21.66,0.6,25.58
IRN,2013,85.3,15.0,3.3,5.5,33.7,9.92,28.8,13.73,19.3,19.01,0.3,26.24
IRN,2014,81.4,15.0,10.2,2.69,48.8,8.78,17.7,15.02,3.0,21.06,1.8,26.64
IRN,2015,98.4,16.19,25.3,6.14,42.8,8.7,11.9,15.57,17.2,21.7,1.2,28.22
IRN,2016,57.7,16.0,2.3,6.22,17.6,10.39,28.4,14.56,9.3,22.62,0.0,25.88
IRN,2017,92.1,15.94,22.6,3.91,27.0,8.56,12.1,16.26,30.4,22.42,0.0,27.78
IRN,2018,93.9,16.48,26.4,7.21,2.5,13.2,33.4,14.86,30.1,18.94,1.5,27.58
IRN,2019,130.0,14.6,14.0,4.1,73.8,7.07,32.8,12.31,6.7,20.79,2.7,28.07
IRN,2020,121.2,15.32,23.3,5.67,37.0,8.62,57.2,13.56,3.7,20.95,0.0,27.5
IRN,2021,57.1,17.45,24.9,6.63,17.5,10.78,3.6,18.03,11.0,22.57,0.0,28.59
IRN,2022,44.2,16.73,17.9,5.74,17.9,10.43,5.5,18.06,2.9,20.79,0.0,27.95
IRN,2023,110.8,15.57,90.9,3.64,14.2,10.02,2.9,14.45,2.4,20.97,0.5,27.98
KAZ,2001,135.2,5.12,30.1,-14.5,26.3,-3.71,17.8,7.59,30.6,16.19,30.4,18.66
KAZ,2002,155.5,4.32,22.6,-8.32,35.9,-1.56,49.3,3.02,14.3,10.5,33.4,17.11
KAZ,2003,198.5,2.45,9.5,-15.57,13.1,-8.67,30.4,3.63,79.7,14.53,65.7,17.09
KAZ,2004,131.4,4.51,12.9,-11.9,40.6,-5.97,48.4,3.7,9.0,15.87,20.6,20.3
KAZ,2005,159.7,3.32,8.0,-18.9,47.2,-6.53,23.5,4.34,43.5,15.85,37.5,20.27
KAZ,2006,163.3,5.3,14.4,-13.88,16.4,-3.18,64.9,6.2,38.1,14.02,29.6,22.07
KAZ,2007,182.8,3.12,43.4,-14.45,9.3,-8.9,36.5,5.83,69.9,14.15,23.7,17.8
KAZ,2008,182.4,4.99,37.2,-12.1,45.9,-2.52,23.2,6.13,42.1,13.75,33.9,19.07
KAZ,2009,158.5,3.6,16.7,-15.64,26.1,-4.75,39.5,3.83,67.5,12.79,8.7,20.48
KAZ,2010,79.3,3.22,9.1,-20.2,29.2,-8.28,7.8,5.38,25.2,14.83,8.1,22.82
KAZ,2011,241.1,2.58,21.1,-17.0,33.9,-8.76,44.6,5.58,46.2,13.5,95.2,18.28
KAZ,2012,129.3,4.23,4.2,-19.16,30.7,-6.79,20.5,10.28,42.8,14.57,31.1,21.49
KAZ,2013,143.3,3.92,20.5,-12.98,31.5,-7.15,51.4,6.07,30.4,12.87,9.5,19.75
KAZ,2014,109.2,4.35,15.5,-16.85,20.6,-3.9,8.1,3.44,27.5,16.46,37.6,21.08
KAZ,2015,176.8,4.17,6.6,-13.84,17.9,-7.0,32.7,4.6,96.3,14.13,23.3,21.79
KAZ,2016,199.5,4.66,32.0,-9.22,53.4,-4.79,36.0,6.73,16.5,12.72,61.6,17.45
KAZ,2017,205.3,2.94,26.4,-13.81,17.9,-6.69,29.7,4.31,67.9,12.06,63.3,17.71
KAZ,2018,217.9,1.1,10.4,-14.63,42.2,-10.33,32.2,3.14,68.8,10.6,64.3,15.75
KAZ,2019,109.0,3.59,15.5,-15.03,27.9,-4.65,26.3,4.29,16.9,14.19,22.5,17.8
KAZ,2020,254.5,4.96,38.4,-8.99,23.6,-4.24,42.9,5.5,116.9,15.28,32.8,16.72
KAZ,2021,117.0,4.07,49.5,-15.51,29.0,-8.67,17.3,4.62,10.0,18.08,11.2,20.47
KAZ,2022,143.1,4.26,20.8,-10.08,18.5,-8.61,10.4,8.33,44.2,12.69,49.1,18.14
KAZ,2023,134.1,4.93,26.4,-12.9,23.1,-4.11,4.8,6.21,16.9,14.97,62.9,19.24
UZB,2001,56.6,16.59,22.4,3.18,29.3,9.73,2.9,16.94,1.9,24.82,0.1,27.35
UZB,2002,232.6,14.03,49.7,3.78,61.3,9.55,97.0,13.48,21.7,18.04,3.0,24.64
UZB,2003,192.9,12.7,45.5,3.46,70.5,6.48,37.2,12.67,31.0,16.63,8.6,23.73
UZB,2004,153.4,14.84,14.1,5.44,69.1,8.44,42.1,12.91,28.0,20.84,0.1,26.29
UZB,2005,162.5,13.57,36.3,-0.6,54.5,9.91,22.6,13.5,38.0,18.26,11.1,25.77
UZB,2006,117.3,16.06,51.4,6.55,25.1,9.25,35.6,15.37,4.1,22.47,1.1,26.05
UZB,2007,162.3,15.13,30.2,4.09,71.1,6.92,39.8,16.96,20.8,20.24,0.3,26.83
UZB,2008,123.9,15.34,33.8,-0.94,22.5,12.37,51.4,15.33,16.2,22.06,0.0,27.22
UZB,2009,251.8,13.43,57.3,4.24,52.7,9.44,91.0,10.76,38.3,18.95,12.5,23.09
UZB,2010,211.2,14.57,66.7,2.04,49.2,9.84,42.7,14.79,41.5,19.6,11.1,25.73
UZB,2011,133.5,14.61,63.5,0.77,37.7,6.82,10.3,15.66,16.7,22.07,5.3,26.82
UZB,2012,205.6,12.69,61.8,-1.91,76.9,4.7,43.5,15.5,19.9,19.36,3.4,25.34
UZB,2013,212.1,14.19,32.3,3.75,110.5,8.62,55.6,12.24,7.4,19.31,6.3,26.33
UZB,2014,127.9,13.3,17.8,-2.39,44.7,6.78,44.3,12.55,17.7,21.81,3.4,26.64
UZB,2015,224.5,14.13,109.9,3.25,61.0,5.2,25.3,14.32,25.0,20.3,3.3,26.94
UZB,2016,267.6,15.1,13.8,5.57,87.0,10.64,61.2,12.97,86.7,20.51,18.9,25.46
UZB,2017,289.6,13.38,110.1,0.89,76.6,5.78,77.0,12.0,25.0,21.29,0.9,26.1
UZB,2018,155.9,14.72,34.5,3.27,50.4,11.53,23.3,14.12,39.2,18.64,8.3,25.26
UZB,2019,307.7,13.48,35.6,2.44,61.4,8.89,146.3,13.14,35.0,19.19,29.4,22.96
UZB,2020,378.1,13.7,74.4,3.98,50.8,8.77,165.1,12.7,85.8,18.53,2.0,24.21
UZB,2021,149.1,15.57,20.1,6.02,91.2,7.51,23.2,14.15,13.8,22.11,0.8,27.51
UZB,2022,289.2,14.88,15.5,3.88,136.5,7.35,38.2,17.7,91.0,19.18,8.0,25.67
UZB,2023,139.8,15.97,64.5,3.42,30.4,12.5,25.6,15.17,18.6,19.94,0.8,27.96
TJK,2001,85.4,17.76,29.4,4.03,35.7,10.54,18.5,17.43,1.6,26.47,0.2,29.39
TJK,2002,224.5,15.33,51.6,4.42,55.2,10.52,74.7,14.63,34.3,19.8,8.7,26.55
TJK,2003,230.9,13.8,43.3,3.98,69.0,7.76,55.3,13.04,37.8,18.56,25.4,25.07
TJK,2004,142.0,16.23,19.2,6.64,71.4,8.96,26.5,14.47,24.1,22.74,0.9,28.03
TJK,2005,148.2,15.17,36.1,-0.99,49.0,11.52,22.7,15.17,35.6,20.36,4.8,28.68
TJK,2006,97.4,17.29,25.7,6.5,33.7,10.3,24.1,17.08,9.6,23.81,4.3,28.06
TJK,2007,201.0,16.23,43.6,4.48,66.3,7.86,57.3,18.05,33.0,21.87,0.8,28.18
TJK,2008,112.5,16.78,38.1,-0.53,16.1,13.63,28.9,16.72,29.3,24.24,0.1,29.12
TJK,2009,234.7,14.66,48.2,5.18,58.0,10.04,76.7,12.01,33.5,20.55,18.2,24.83
TJK,2010,224.1,15.44,75.7,1.85,26.8,10.2,53.4,16.21,48.6,20.97,19.7,27.04
TJK,2011,127.8,15.77,47.4,1.19,40.1,7.49,16.8,17.13,12.6,23.62,11.0,28.47
TJK,2012,131.8,14.24,41.9,-1.59,51.4,5.66,20.9,17.64,16.2,21.13,1.4,27.88
TJK,2013,171.3,15.66,23.3,3.6,79.0,9.87,45.9,14.27,12.0,21.43,11.1,28.3
TJK,2014,79.5,14.72,9.5,-2.39,25.1,8.17,23.5,13.87,16.4,24.07,4.9,28.66
TJK,2015,179.2,15.99,68.4,4.54,42.9,6.6,25.7,16.52,33.0,22.58,9.1,29.02
TJK,2016,163.5,17.15,4.6,6.33,56.7,12.53,28.3,15.63,59.7,22.88,14.2,27.99
TJK,2017,177.8,15.08,61.3,1.61,40.8,6.66,50.0,13.9,21.2,23.84,4.5,28.46
TJK,2018,175.1,15.76,42.0,3.0,58.2,12.15,28.8,15.45,24.2,20.22,21.9,27.08
TJK,2019,196.2,15.53,19.3,4.02,39.4,11.17,107.0,14.84,10.9,21.33,19.6,25.49
TJK,2020,214.3,16.07,63.5,5.23,21.4,10.33,73.3,15.4,51.3,21.94,4.8,27.06
TJK,2021,225.8,15.52,100.8,5.07,83.6,7.37,22.7,13.96,15.0,22.31,3.6,28.24
TJK,2022,251.6,16.39,29.5,4.71,132.8,8.06,12.6,19.29,66.4,21.07,10.2,28.17
TJK,2023,108.2,16.85,54.6,3.8,26.5,13.2,19.2,15.86,7.4,21.05,0.5,29.42
TUR,2001,134.6,11.12,30.6,1.73,9.1,9.07,24.0,10.37,70.0,13.67,0.9,20.1
TUR,2002,176.3,9.93,17.6,3.08,36.9,5.9,87.9,8.12,23.8,13.51,10.2,18.62
TUR,2003,221.0,8.26,64.1,-2.56,47.7,0.82,61.7,7.74,37.4,15.67,10.2,18.93
TUR,2004,128.2,9.35,25.9,0.12,7.0,4.51,38.1,8.74,18.8,13.96,38.3,19.11
TUR,2005,118.9,9.57,33.2,-0.07,22.7,4.55,37.6,9.3,17.2,14.65,8.1,18.78
TUR,2006,168.1,10.42,45.6,0.59,44.4,5.23,48.5,10.26,17.5,14.79,12.0,20.59
TUR,2007,103.7,10.25,33.6,0.66,21.7,4.55,15.8,7.12,17.8,17.05,14.7,21.17
TUR,2008,118.3,10.4,24.0,-1.13,47.1,6.85,18.1,11.52,21.0,14.0,8.2,20.37
TUR,2009,203.9,9.39,60.2,1.63,36.7,2.78,46.1,8.84,54.4,13.41,6.5,19.85
TUR,2010,172.7,10.9,47.6,2.98,13.9,6.36,37.5,9.46,25.4,15.75,48.3,19.43
TUR,2011,283.6,8.58,57.0,0.88,37.7,3.8,74.6,7.64,54.2,12.56,60.1,17.54
TUR,2012,169.7,9.18,53.9,-1.88,29.3,1.62,15.5,11.1,58.5,14.09,12.5,20.7
TUR,2013,159.4,11.27,45.6,3.19,12.1,5.41,46.9,10.67,44.9,16.58,9.8,19.98
TUR,2014,151.5,11.07,24.6,3.78,33.4,5.9,22.4,11.15,41.6,15.14,29.6,18.93
TUR,2015,266.2,9.2,53.3,0.86,73.2,4.8,14.5,7.19,53.6,15.09,71.6,17.46
TUR,2016,132.3,11.85,13.7,4.98,40.7,6.09,12.1,13.1,48.3,14.33,17.5,20.65
TUR,2017,176.4,9.72,2.7,0.49,76.9,4.83,24.3,8.98,54.2,14.17,18.3,19.53
TUR,2018,184.4,12.65,22.6,4.68,36.3,8.03,6.6,12.52,42.8,17.14,76.1,20.34
TUR,2019,172.0,10.2,27.2,2.04,28.6,4.26,45.8,8.16,11.1,16.09,59.4,19.91
TUR,2020,184.7,9.86,52.8,1.24,40.2,5.4,22.7,8.9,47.3,14.6,21.7,18.85
TUR,2021,126.6,10.26,14.1,1.74,53.2,3.12,20.7,9.97,3.0,17.46,35.5,18.45
TUR,2022,157.9,8.94,60.1,0.74,45.5,-1.1,5.8,10.93,26.9,14.15,19.8,19.59
TUR,2023,261.0,9.51,22.6,-1.0,49.7,6.15,47.8,9.17,79.4,14.23,61.5,18.25
UKR,2001,376.8,7.76,41.7,-3.69,79.5,1.67,63.3,10.07,56.8,13.03,135.4,17.01
UKR,2002,214.7,9.96,34.5,1.26,29.2,3.9,28.6,8.61,65.0,15.76,57.3,19.72
UKR,2003,147.5,5.75,26.2,-10.29,29.3,-3.28,42.5,5.24,17.7,17.75,31.9,18.14
UKR,2004,282.8,7.0,46.4,-5.33,37.1,2.5,21.2,7.38,112.9,13.09,65.1,16.89
UKR,2005,253.3,6.82,64.6,-7.26,24.8,-3.64,26.6,9.28,30.3,16.8,107.1,17.98
UKR,2006,271.7,6.51,29.4,-9.24,75.2,-1.01,18.9,7.84,59.4,14.24,88.8,19.67
UKR,2007,176.3,9.69,25.3,-4.91,24.7,3.68,14.5,7.9,34.7,18.4,77.1,22.33
UKR,2008,216.7,9.26,13.4,-2.35,48.5,4.31,71.6,10.74,50.6,13.7,32.6,19.56
UKR,2009,238.2,8.73,54.2,-2.69,69.8,1.31,1.9,7.72,74.2,14.6,38.1,22.02
UKR,2010,250.6,8.13,85.3,-5.78,27.4,-1.31,17.9,8.83,66.2,16.48,53.9,21.54
UKR,2011,237.9,7.09,23.6,-9.54,13.9,-0.88,45.7,7.46,37.9,16.24,116.9,21.04
UKR,2012,160.1,8.27,29.1,-12.13,26.3,-0.89,30.4,11.98,37.0,19.33,37.3,22.33
