country_iso3,year,ndvi_season_mean,ndvi_season_max,evi_season_mean,ndvi_m02,evi_m02,ndvi_m03,evi_m03,ndvi_m04,evi_m04,ndvi_m05,evi_m05,ndvi_m06,evi_m06
AFG,2001,0.11610381926072562,0.17920184868596473,0.07860112847355036,0.08345040456476431,0.0510897684524234,0.11161725161356775,0.07215875450872411,0.1310228621013162,0.08969174101955808,0.13281065061567493,0.09392641550904891,0.12155783554706044,0.08612412785366926
AFG,2002,0.13014463985473906,0.20780394341287828,0.08821540781706512,0.08436264599382579,0.05170381871136989,0.11657569491686125,0.07720837569198657,0.1530098038770855,0.10342823470022193,0.15473210614525112,0.10799625469809472,0.14190058191346158,0.1006875910617782
AFG,2003,0.1362333689755476,0.21939909623207,0.0915082299143959,0.08329068006186319,0.04917291656269709,0.11971625715384994,0.07681095576735299,0.1643800882508295,0.11127882394783316,0.16250208726101978,0.11330062486854768,0.15043070165264508,0.1064162089669019
AFG,2004,0.13011378345198224,0.19563825059032539,0.0870294448424219,0.09495442288484146,0.05827036905427258,0.12846763463573688,0.08442869702144376,0.1462484849514056,0.09812098103056092,0.14361350649431817,0.09818575580070109,0.13618151378471768,0.09538691305787482
AFG,2005,0.12951913858440062,0.22398501967733714,0.08619482180037527,0.05614181018529646,0.029490612865663148,0.12117403119063898,0.07523816492582917,0.1528577997652753,0.10344714422618874,0.157981862106794,0.11043159403567025,0.15710947413869514,0.1105828163564537
AFG,2006,0.13207302934574655,0.20365226242446488,0.08874135583371558,0.09450656101809125,0.05490884458632672,0.12652754191359433,0.08186691984982156,0.14841903985256924,0.10138297111261899,0.15005729742709037,0.10531635056335742,0.14020822169352887,0.0997844071012441
AFG,2007,0.14106268871732996,0.23024947892082392,0.09517231246680699,0.09581460016130632,0.05628650193672449,0.12612247723597403,0.08014954659125036,0.16903926765500066,0.11708232123031675,0.16095989263881322,0.11390892054361242,0.15202849767437226,0.10746811631212982
AFG,2008,0.11472225836200714,0.18122203655538294,0.07833562231583631,0.050634945479967365,0.02890349469412034,0.11003142311150553,0.07424253492385009,0.13217897618668023,0.08946115645144509,0.1431541249152895,0.10076458611777364,0.1356904781278219,0.09690098747487504
AFG,2009,0.1425299336570077,0.23549711787481925,0.09605155822541157,0.08089061865317462,0.048199552594126664,0.12785710353711133,0.08472987573584277,0.16812177504497527,0.11160531205201903,0.1755822707829462,0.12254717895622085,0.15994976517286028,0.11308517672644121
AFG,2010,0.14227280402500736,0.23030421349101485,0.09564394921291822,0.08397531000106409,0.04987309476583001,0.13490370004554347,0.09054657520928666,0.17027292827569865,0.11354997184643674,0.16390519849228027,0.11275980660409844,0.15637108697635796,0.11012470914032103
