country_iso3,country_name,year,cereal_yield_kg_ha,ndvi_season_mean,ndvi_season_max,evi_season_mean,season_precip_total_mm,season_temp_mean_c,yield_lag1
AFG,Afghanistan,2002,1669.8,0.130144639854739,0.2078039434128782,0.0882154078170651,60.5,17.72,1006.7
AFG,Afghanistan,2003,1458.0,0.1362333689755476,0.21939909623207,0.0915082299143959,117.1,15.59,1669.8
AFG,Afghanistan,2004,1334.8,0.1301137834519822,0.1956382505903253,0.0870294448424219,56.8,17.71,1458.0
AFG,Afghanistan,2005,1790.4,0.1295191385844006,0.2239850196773371,0.0861948218003752,91.0,16.17,1334.8
AFG,Afghanistan,2006,1551.7,0.1320730293457465,0.2036522624244648,0.0887413558337155,90.7,18.29,1790.4
AFG,Afghanistan,2007,1915.3,0.1410626887173299,0.2302494789208239,0.0951723124668069,109.1,17.69,1551.7
AFG,Afghanistan,2008,1455.4,0.1147222583620071,0.1812220365553829,0.0783356223158363,50.1,18.17,1915.3
AFG,Afghanistan,2009,2040.7,0.1425299336570077,0.2354971178748192,0.0960515582254115,130.3,16.49,1455.4
AFG,Afghanistan,2010,2011.1,0.1422728040250073,0.2303042134910148,0.0956439492129182,139.6,17.37,2040.7
AFG,Afghanistan,2011,1659.9,0.1232873817704965,0.1991882663343538,0.0839615349437262,66.8,17.08,2011.1
AFG,Afghanistan,2012,2094.2,0.1264000097158677,0.2110842215132666,0.085744303946415,110.5,15.26,1659.9
AFG,Afghanistan,2013,2127.7,0.140010183904402,0.2243329095142742,0.0942931508245976,91.0,17.23,2094.2
AFG,Afghanistan,2014,2096.6,0.1265618672370924,0.215704464190925,0.0849664990188007,53.1,15.74,2127.7
AFG,Afghanistan,2015,2206.4,0.1360239607423245,0.2188299460600359,0.0914110754813942,131.8,16.71,2096.6
AFG,Afghanistan,2016,2043.3,0.1447837577428869,0.2276976207854661,0.0972754297917816,93.0,17.86,2206.4
AFG,Afghanistan,2017,2091.4,0.1317725735124146,0.2140131984379512,0.0895085119869375,111.3,16.54,2043.3
AFG,Afghanistan,2018,2253.2,0.1255681097195378,0.1901311974405057,0.085416807535853,35.4,17.65,2091.4
AFG,Afghanistan,2019,2184.7,0.1366276258317964,0.2290093824732744,0.0921865479746114,183.2,15.77,2253.2
AFG,Afghanistan,2020,2050.8,0.1472063427440321,0.2356232788571782,0.099001656046764,205.3,16.23,2184.7
AFG,Afghanistan,2021,2099.1,0.1327625727426516,0.1968210625806614,0.0904238824660262,44.5,17.99,2050.8
AFG,Afghanistan,2022,2193.4,0.1327826270376755,0.201295391323301,0.0910869810183934,89.8,17.98,2099.1
AFG,Afghanistan,2023,2303.0,0.132821889665283,0.2075809908723216,0.0892882346987969,67.2,18.5,2193.4
IRN,"Iran, Islamic Rep.",2002,2272.9,0.1434299239757254,0.2061276415615032,0.0964890836801934,67.5,14.94,1932.6
IRN,"Iran, Islamic Rep.",2003,2383.4,0.1388519068226477,0.2046516503182041,0.0936825266432698,60.0,14.9,2272.9
IRN,"Iran, Islamic Rep.",2004,2417.1,0.1449178854135255,0.2064393487844794,0.0973916302788461,96.1,14.87,2383.4
IRN,"Iran, Islamic Rep.",2005,2301.2,0.1458911679444194,0.2152752660817423,0.0977059700877063,34.1,14.69,2417.1
IRN,"Iran, Islamic Rep.",2006,2391.8,0.1470877653716449,0.2095296895050313,0.0983819532815032,112.0,15.71,2301.2
IRN,"Iran, Islamic Rep.",2007,2454.3,0.1504254386252567,0.2236667731739643,0.1006708453423412,131.5,14.44,2391.8
IRN,"Iran, Islamic Rep.",2008,1720.9,0.1265952707483549,0.1761575751330754,0.0859477370781579,16.8,16.25,2454.3
IRN,"Iran, Islamic Rep.",2009,1997.2,0.1426121644980849,0.1999792088380921,0.0963548618144776,116.7,14.28,1720.9
IRN,"Iran, Islamic Rep.",2010,2173.5,0.1585382254836226,0.2264124103391771,0.1077977214365389,88.3,16.16,1997.2
IRN,"Iran, Islamic Rep.",2011,1713.7,0.1379951634172795,0.2008705775379351,0.0936915151310553,76.6,15.53,2173.5
IRN,"Iran, Islamic Rep.",2012,1745.4,0.1344491603149707,0.1976512673491631,0.091622484825958,94.3,14.03,1713.7
IRN,"Iran, Islamic Rep.",2013,1847.1,0.1541656306359194,0.2134419678548054,0.1035876857813493,85.3,15.0,1745.4
IRN,"Iran, Islamic Rep.",2014,2051.5,0.1469864450668336,0.2093691244565034,0.0985612857402149,81.4,15.0,1847.1
IRN,"Iran, Islamic Rep.",2015,2231.0,0.1477169799718117,0.2051824157562564,0.0991940443587964,98.4,16.19,2051.5
IRN,"Iran, Islamic Rep.",2016,2653.3,0.1569653845806239,0.2214859250763373,0.1056514271903197,57.7,16.0,2231.0
IRN,"Iran, Islamic Rep.",2017,2531.0,0.1427368529726628,0.2089855258667854,0.0962292706046915,92.1,15.94,2653.3
IRN,"Iran, Islamic Rep.",2018,2657.3,0.147434073030588,0.2031552548556321,0.0994124820018323,93.9,16.48,2531.0
IRN,"Iran, Islamic Rep.",2019,2653.7,0.1641002984002991,0.24121387540192,0.1103752570115444,130.0,14.6,2657.3
IRN,"Iran, Islamic Rep.",2020,2618.8,0.1680640096593357,0.2441165917857633,0.1133017336264717,121.2,15.32,2653.7
IRN,"Iran, Islamic Rep.",2021,2301.5,0.1494920734920275,0.2024628936834171,0.101325996823343,57.1,17.45,2618.8
IRN,"Iran, Islamic Rep.",2022,2317.6,0.1446485953861161,0.2034521281488104,0.0989354197098816,44.2,16.73,2301.5
IRN,"Iran, Islamic Rep.",2023,2420.4,0.1533608422770742,0.2194346049819509,0.103299748167659,110.8,15.57,2317.6
KAZ,Kazakhstan,2002,1145.7,0.2433231429978302,0.4598381338618366,0.1371757362734175,155.5,4.32,1216.6
KAZ,Kazakhstan,2003,1077.5,0.1908909933103549,0.4131727023667512,0.1071707991824538,198.5,2.45,1145.7
KAZ,Kazakhstan,2004,884.3,0.2090348135835213,0.3971362753290571,0.1158096463214005,131.4,4.51,1077.5
KAZ,Kazakhstan,2005,998.2,0.1995046961746726,0.4059918982657095,0.1109580453953483,159.7,3.32,884.3
KAZ,Kazakhstan,2006,1170.9,0.2002724145039572,0.3872977283053019,0.1136700802846644,163.3,5.3,998.2
KAZ,Kazakhstan,2007,1326.9,0.2097392686233762,0.4187940469304404,0.1204656131963563,182.8,3.12,1170.9
KAZ,Kazakhstan,2008,1011.3,0.1882000439722136,0.3539542066888032,0.107517049227417,182.4,4.99,1326.9
KAZ,Kazakhstan,2009,1253.1,0.1983241222255542,0.3926517843515925,0.1135257164734771,158.5,3.6,1011.3
KAZ,Kazakhstan,2010,804.1,0.1782482298802259,0.3643304423769827,0.1017174772335589,79.3,3.22,1253.1
KAZ,Kazakhstan,2011,1688.6,0.1820204989534484,0.3798712207670217,0.1057534540757129,241.1,2.58,804.1
KAZ,Kazakhstan,2012,865.1,0.1808291659134143,0.3665654934210456,0.1046614928784656,129.3,4.23,1688.6
KAZ,Kazakhstan,2013,1164.9,0.1986875199009307,0.3795312823785456,0.1152846086853325,143.3,3.92,865.1
KAZ,Kazakhstan,2014,1172.7,0.1823024133042098,0.3658103736537743,0.105828711046655,109.2,4.35,1164.9
KAZ,Kazakhstan,2015,1275.6,0.1976531594234576,0.4211147329738879,0.1143563652782994,176.8,4.17,1172.7
KAZ,Kazakhstan,2016,1347.8,0.233779189885604,0.4554771481107772,0.1345962842722463,199.5,4.66,1275.6
KAZ,Kazakhstan,2017,1355.0,0.2039148567095316,0.4192964457856586,0.1160889654589851,205.3,2.94,1347.8
KAZ,Kazakhstan,2018,1359.6,0.1948218856479731,0.3988861519873583,0.1115255035105688,217.9,1.1,1355.0
KAZ,Kazakhstan,2019,1147.6,0.2066968262171694,0.4018511928317477,0.1185609609382773,109.0,3.59,1359.6
KAZ,Kazakhstan,2020,1282.5,0.2077689862013135,0.3830890295211837,0.1195419670093996,254.5,4.96,1147.6
KAZ,Kazakhstan,2021,1038.3,0.1787470547396609,0.3517080246315621,0.1047461101040756,117.0,4.07,1282.5
KAZ,Kazakhstan,2022,1371.8,0.191432702748058,0.3800349349167303,0.113835096260339,143.1,4.26,1038.3
KAZ,Kazakhstan,2023,1028.4,0.1891614047354927,0.357145919103947,0.1108966146533749,134.1,4.93,1371.8
NLD,Netherlands,2002,7313.9,0.6021843324657826,0.7796921410960426,0.395799051331603,338.6,10.04,7280.5
NLD,Netherlands,2003,7956.8,0.5711210326469345,0.7734603490240994,0.3773266409741265,229.7,9.17,7313.9
NLD,Netherlands,2004,8066.3,0.5788294756670638,0.7744141765809938,0.3860169082295937,269.7,9.28,7956.8
NLD,Netherlands,2005,7879.7,0.5983905147787636,0.7757386881848338,0.3890418840631071,316.1,8.84,8066.3
NLD,Netherlands,2006,7854.2,0.5513489267945103,0.752181574763572,0.3570440765735889,278.0,8.51,7879.7
NLD,Netherlands,2007,7289.7,0.6269654404833603,0.7816233503540894,0.4169902902764323,346.2,10.96,7854.2
NLD,Netherlands,2008,8332.3,0.6051328028114784,0.756777257517045,0.3995913826500625,247.6,9.66,7289.7
NLD,Netherlands,2009,9032.9,0.5846073498049823,0.7724476033879514,0.3900639484606686,260.2,9.58,8332.3
NLD,Netherlands,2010,8569.3,0.5333146602526938,0.7373029307735117,0.3514368931556191,246.2,7.94,9032.9
NLD,Netherlands,2011,7800.8,0.5928715678599908,0.7743437186865509,0.3830294478902256,205.3,9.86,8569.3
NLD,Netherlands,2012,8545.0,0.5629490753783707,0.7655782882651208,0.3786308268710419,259.6,8.65,7800.8
NLD,Netherlands,2013,8630.1,0.5540499247121615,0.7658579343167984,0.3605551626581548,243.1,6.99,8545.0
NLD,Netherlands,2014,9073.7,0.6355840550581058,0.7747795561485209,0.4277863032141313,272.3,10.63,8630.1
NLD,Netherlands,2015,8752.8,0.6018258081407292,0.7628653544339403,0.3978463411269425,221.6,8.65,9073.7
NLD,Netherlands,2016,7776.9,0.6157625106526954,0.7766017207663662,0.4096385379329528,339.6,9.33,8752.8
NLD,Netherlands,2017,8794.5,0.6010322994381055,0.7753010793199477,0.3967172442668739,301.5,10.21,7776.9
NLD,Netherlands,2018,7927.3,0.5949062188392581,0.7608094172198021,0.3892864216206828,250.1,9.57,8794.5
NLD,Netherlands,2019,8676.6,0.6264567223510067,0.7654030449591928,0.4225102789938961,283.7,10.53,7927.3
NLD,Netherlands,2020,7944.3,0.6218192874046539,0.7596545292620651,0.4067832392432201,327.9,10.35,8676.6
NLD,Netherlands,2021,7850.7,0.5649988946075944,0.7669894693633915,0.3833444314596708,342.8,8.64,7944.3
NLD,Netherlands,2022,8860.0,0.623422976953442,0.7713289563749722,0.4168378096521353,327.9,10.37,7850.7
NLD,Netherlands,2023,8079.5,0.6306367005889942,0.7599852728630958,0.4170482856526831,260.3,10.34,8860.0
PAK,Pakistan,2002,2260.2,0.1553376247825465,0.2431329529248474,0.1034157524991557,71.8,29.12,2230.5
PAK,Pakistan,2003,2320.6,0.1604679495966575,0.2480182359360346,0.1071680868626043,105.0,28.09,2260.2
PAK,Pakistan,2004,2430.7,0.1686589494762008,0.2627538694108222,0.1100964148505402,76.4,29.72,2320.6
PAK,Pakistan,2005,2615.8,0.1777317130858756,0.2786371627149616,0.1182181331742976,147.8,26.76,2430.7
PAK,Pakistan,2006,2554.0,0.165799989988155,0.2575247588239239,0.1087872108781342,124.6,28.92,2615.8
PAK,Pakistan,2007,2743.9,0.1958974970807309,0.3001601713638588,0.1288103915192742,325.9,27.79,2554.0
PAK,Pakistan,2008,2653.7,0.1717313663753665,0.2596951704353687,0.1121483390625405,190.6,27.86,2743.9
PAK,Pakistan,2009,2789.7,0.1756505879099158,0.2710959276940624,0.1152047835880932,90.9,28.0,2653.7
PAK,Pakistan,2010,2611.0,0.1674904188622312,0.2617243662553601,0.1109997261196154,58.0,29.68,2789.7
PAK,Pakistan,2011,2953.4,0.187019608488634,0.287537642291608,0.1244382930418804,164.2,28.08,2611.0
PAK,Pakistan,2012,2862.6,0.1711832903269124,0.2545919321849096,0.1130015721989052,56.7,27.12,2953.4
PAK,Pakistan,2013,3001.3,0.1916899035453819,0.2926660438652828,0.1262267918175925,172.8,27.45,2862.6
PAK,Pakistan,2014,3001.2,0.1856587185574643,0.2798018954245572,0.1219186707440621,144.1,26.87,3001.3
PAK,Pakistan,2015,2942.4,0.1861494876411212,0.2820560119865532,0.1216877325165644,181.5,27.08,3001.2
PAK,Pakistan,2016,3020.7,0.1867454817934696,0.2845757959378132,0.121909443860907,131.5,28.69,2942.4
PAK,Pakistan,2017,3180.4,0.1844392653593463,0.2862394668901796,0.1220466740757033,138.3,28.5,3020.7
PAK,Pakistan,2018,3149.0,0.179003665417426,0.2755930404328137,0.1175703058304405,149.9,28.31,3180.4
PAK,Pakistan,2019,3160.6,0.1901449125713583,0.2892505427414123,0.1254875888694782,131.3,26.95,3149.0
PAK,Pakistan,2020,3353.4,0.2056649235317,0.3057954681844426,0.1347557632814734,412.6,25.12,3160.6
PAK,Pakistan,2021,3489.4,0.188698035298578,0.2818161930073561,0.1236458576383629,123.2,27.48,3353.4
PAK,Pakistan,2022,3463.0,0.1859159711665022,0.2851009606572532,0.1224696248454282,103.9,29.04,3489.4
PAK,Pakistan,2023,3634.0,0.2079995665849425,0.3048877199664047,0.1361462301941151,287.5,26.7,3463.0
TJK,Tajikistan,2002,1889.3,0.1239544537119514,0.2822706715327247,0.0726012436651918,224.5,15.33,1397.9
TJK,Tajikistan,2003,2100.6,0.121330443337536,0.2847753828563557,0.0718664976271475,230.9,13.8,1889.3
TJK,Tajikistan,2004,2150.4,0.130957266355775,0.2914504533523229,0.0744970751778913,142.0,16.23,2100.6
TJK,Tajikistan,2005,2164.4,0.1169159027258478,0.2856107357963017,0.0671204887827041,148.2,15.17,2150.4
TJK,Tajikistan,2006,2158.7,0.1288673040106162,0.2927381369536071,0.0759854254792377,97.4,17.29,2164.4
TJK,Tajikistan,2007,2440.0,0.1390334472322264,0.2986622723231692,0.0840985774850713,201.0,16.23,2158.7
TJK,Tajikistan,2008,2141.0,0.1178887690136814,0.2689919063767217,0.0716091667141383,112.5,16.78,2440.0
TJK,Tajikistan,2009,3119.4,0.1250547849540907,0.2749177662755062,0.0729305925787665,234.7,14.66,2141.0
TJK,Tajikistan,2010,3117.2,0.1334995334862039,0.3014751023653264,0.0782922569176981,224.1,15.44,3119.4
TJK,Tajikistan,2011,2519.3,0.1246182736093124,0.2817093895349459,0.0739790633592988,127.8,15.77,3117.2
TJK,Tajikistan,2012,2891.1,0.1191610819327865,0.2931803411120741,0.0720264961964036,131.8,14.24,2519.3
TJK,Tajikistan,2013,3159.4,0.1396351821386728,0.2978530834325531,0.0847465587225457,171.3,15.66,2891.1
TJK,Tajikistan,2014,3189.4,0.1248134764428016,0.291654121406784,0.0747406984873747,79.5,14.72,3159.4
TJK,Tajikistan,2015,3261.0,0.1381370434107064,0.2964992924937202,0.0828192829468316,179.2,15.99,3189.4
TJK,Tajikistan,2016,3348.7,0.1488468448777018,0.3077738835710414,0.0888038156005359,163.5,17.15,3261.0
TJK,Tajikistan,2017,3459.5,0.1260628003204107,0.2988387463278917,0.0749127245672234,177.8,15.08,3348.7
TJK,Tajikistan,2018,3404.4,0.1320558633672845,0.2740167554966551,0.0798922472619734,175.1,15.76,3459.5
TJK,Tajikistan,2019,3636.7,0.139659894813245,0.298217695167769,0.0826640783998694,196.2,15.53,3404.4
TJK,Tajikistan,2020,3525.6,0.1433732331413948,0.2973970916968489,0.0843988104195316,214.3,16.07,3636.7
TJK,Tajikistan,2021,3885.1,0.1265423849210639,0.2819213514306456,0.0761771667919498,225.8,15.52,3525.6
TJK,Tajikistan,2022,3926.0,0.1436846850200994,0.29141586310068,0.0884744150190355,251.6,16.39,3885.1
TJK,Tajikistan,2023,3732.8,0.1385499431493572,0.2936795429439122,0.0832491962930231,108.2,16.85,3926.0
TUR,Turkiye,2002,2242.0,0.3435334263398924,0.5339705007488281,0.2077772737204405,176.3,9.93,2178.3
TUR,Turkiye,2003,2308.6,0.3260648856842386,0.5307692342096122,0.1992313089830551,221.0,8.26,2242.0
TUR,Turkiye,2004,2477.9,0.3562065491046079,0.5384964352859416,0.2152978747450367,128.2,9.35,2308.6
TUR,Turkiye,2005,2634.5,0.3454868660212755,0.5322411753042297,0.2088102050875708,118.9,9.57,2477.9
TUR,Turkiye,2006,2661.9,0.354122596685453,0.5463189808168938,0.2161417781270334,168.1,10.42,2634.5
TUR,Turkiye,2007,2410.2,0.3487084947952217,0.5362664563263292,0.212329120459263,103.7,10.25,2661.9
TUR,Turkiye,2008,2601.3,0.3420474172650768,0.5161008742681191,0.2094168566628532,118.3,10.4,2410.2
TUR,Turkiye,2009,2807.8,0.3759193777400099,0.5662822829698627,0.2337788420699809,203.9,9.39,2601.3
TUR,Turkiye,2010,2725.6,0.3975012997259413,0.5659238674654553,0.2423111761356066,172.7,10.9,2807.8
TUR,Turkiye,2011,2970.0,0.3976765658320391,0.6010177768852818,0.2453977251569929,283.6,8.58,2725.6
TUR,Turkiye,2012,2958.4,0.3280102408370448,0.5482617464233474,0.2015647001723127,169.7,9.18,2970.0
TUR,Turkiye,2013,3256.9,0.4135882198129761,0.5879958177301986,0.2541681962051136,159.4,11.27,2958.4
TUR,Turkiye,2014,2832.1,0.393569579395552,0.5545384633975019,0.2360975598376941,151.5,11.07,3256.9
TUR,Turkiye,2015,3307.8,0.4145006185652571,0.606445126531497,0.2535106019778211,266.2,9.2,2832.1
TUR,Turkiye,2016,3105.4,0.4051691749955611,0.5797512204894731,0.2473469563430346,132.3,11.85,3307.8
TUR,Turkiye,2017,3257.4,0.3698314190083096,0.5744678654684104,0.2245393332196765,176.4,9.72,3105.4
TUR,Turkiye,2018,3163.9,0.4335058234375152,0.6040951792614632,0.2647276365396959,184.4,12.65,3257.4
TUR,Turkiye,2019,3200.8,0.3957649782314372,0.5851642085711053,0.2400293578000434,172.0,10.2,3163.9
TUR,Turkiye,2020,3341.5,0.3940464850562067,0.5849590717865235,0.2403080842759377,184.7,9.86,3200.8
TUR,Turkiye,2021,2918.5,0.3864675399781974,0.5583140095077715,0.2355955499808566,126.6,10.26,3341.5
TUR,Turkiye,2022,3464.7,0.352298471479919,0.5596135698701398,0.2139084500394826,157.9,8.94,2918.5
TUR,Turkiye,2023,3659.1,0.4091597397936275,0.6115150760214572,0.2514624992016278,261.0,9.51,3464.7
UKR,Ukraine,2002,2752.2,0.5089890223991198,0.7450655114195901,0.2838892198693107,214.7,9.96,2729.5
UKR,Ukraine,2003,2278.4,0.3588083516758054,0.7021946917737028,0.2018398894006287,147.5,5.75,2752.2
UKR,Ukraine,2004,2845.2,0.4434058469232023,0.7465001322482739,0.2498760985221779,282.8,7.0,2278.4
UKR,Ukraine,2005,2623.0,0.4141474153384287,0.760902416805291,0.2425379357328149,253.3,6.82,2845.2
UKR,Ukraine,2006,2427.7,0.4002040409630335,0.7712359726214006,0.2315459442468219,271.7,6.51,2623.0
UKR,Ukraine,2007,2206.7,0.4614049900369456,0.7255995942972493,0.2611546106634536,176.3,9.69,2427.7
UKR,Ukraine,2008,3486.9,0.5248602343587323,0.7699290444573528,0.3048376929482397,216.7,9.26,2206.7
UKR,Ukraine,2009,3003.8,0.4647944967308192,0.7437567389004656,0.2672592981844443,238.2,8.73,3486.9
UKR,Ukraine,2010,2726.6,0.4208275651148742,0.7613167012741977,0.2474036690012176,250.6,8.13,3003.8
UKR,Ukraine,2011,3753.7,0.4445889110899538,0.770553822805518,0.2599777968824261,237.9,7.09,2726.6
UKR,Ukraine,2012,3156.8,0.4090398299824844,0.7410442758021489,0.239823978000613,160.1,8.27,3753.7
UKR,Ukraine,2013,4030.8,0.4377217370451464,0.7682274122584644,0.2621273682154456,222.8,9.22,3156.8
UKR,Ukraine,2014,4400.2,0.5063905783627961,0.7792621230800482,0.3004230243552072,242.1,10.14,4030.8
UKR,Ukraine,2015,4140.9,0.4733584663871092,0.7706223237250762,0.2742440428476612,350.3,8.69,4400.2
UKR,Ukraine,2016,4651.6,0.5042417310669985,0.7925706446420924,0.2918837814622008,359.2,9.6,4140.9
UKR,Ukraine,2017,4314.6,0.4636265594380569,0.7630934776519166,0.2663643155415614,140.7,8.38,4651.6
UKR,Ukraine,2018,4850.3,0.4232743733851084,0.758306543421895,0.252583974561908,279.9,8.15,4314.6
UKR,Ukraine,2019,4978.3,0.4908421527972731,0.7873278976266781,0.2893886453234311,195.3,10.36,4850.3
UKR,Ukraine,2020,4295.6,0.4879946160597671,0.7705260024355982,0.2712724272902743,281.7,9.59,4978.3
UKR,Ukraine,2021,5454.6,0.4608969896873758,0.8036913733774291,0.2763491944398981,312.4,7.17,4295.6
UKR,Ukraine,2022,4614.2,0.4649231106069769,0.7555550611246239,0.2675855320668434,229.4,8.69,5454.6
UKR,Ukraine,2023,5578.1,0.4988657646853141,0.7749970882304134,0.2916299963631749,304.8,8.69,4614.2
UZB,Uzbekistan,2002,3765.9,0.1873381756331729,0.2920116008752656,0.1268642999593966,232.6,14.03,3042.9
UZB,Uzbekistan,2003,3522.4,0.1735439793710348,0.2734922157021058,0.1157927444001593,192.9,12.7,3765.9
UZB,Uzbekistan,2004,3596.1,0.1857440104039076,0.2751227959005548,0.1237946981613643,153.4,14.84,3522.4
UZB,Uzbekistan,2005,4042.1,0.1705209920697399,0.2694122554817305,0.1139803963267038,162.5,13.57,3596.1
UZB,Uzbekistan,2006,4103.2,0.1690135507141432,0.2584593717442396,0.1136373934983742,117.3,16.06,4042.1
UZB,Uzbekistan,2007,4396.9,0.1775865559359861,0.273046466707623,0.1199131205566994,162.3,15.13,4103.2
UZB,Uzbekistan,2008,4285.3,0.1422281526749761,0.2288396366413718,0.0981575412278599,123.9,15.34,4396.9
UZB,Uzbekistan,2009,4553.1,0.1822488533098284,0.2739538522986086,0.1237626045295795,251.8,13.43,4285.3
UZB,Uzbekistan,2010,4434.2,0.1699618048730796,0.2688391556205807,0.1144565400982625,211.2,14.57,4553.1
UZB,Uzbekistan,2011,4414.5,0.1453197651039208,0.226854225978542,0.1000930811170361,133.5,14.61,4434.2
UZB,Uzbekistan,2012,4597.9,0.1494689038956674,0.247477200432756,0.1029684761046772,205.6,12.69,4414.5
UZB,Uzbekistan,2013,4746.4,0.1746234357042181,0.2635666592811131,0.1202130285251341,212.1,14.19,4597.9
UZB,Uzbekistan,2014,4806.6,0.1476532464808292,0.2411434932985912,0.1027342466664183,127.9,13.3,4746.4
UZB,Uzbekistan,2015,4835.2,0.1762073361393736,0.2661455804573228,0.1195732687128589,224.5,14.13,4806.6
UZB,Uzbekistan,2016,4827.0,0.1930274566550112,0.2914582732655292,0.1294231619747613,267.6,15.1,4835.2
UZB,Uzbekistan,2017,4298.2,0.1742094681482223,0.2762157287820216,0.1172959487692231,289.6,13.38,4827.0
UZB,Uzbekistan,2018,4103.9,0.1585868249819185,0.2419891795610506,0.1084893068599541,155.9,14.72,4298.2
UZB,Uzbekistan,2019,4554.0,0.1925319460406788,0.2982775046906981,0.1299885676202515,307.7,13.48,4103.9
UZB,Uzbekistan,2020,4510.8,0.1776148043799896,0.2604677606312389,0.1205999752271549,378.1,13.7,4554.0
UZB,Uzbekistan,2021,4774.4,0.1551565019610947,0.2269954568625183,0.1081503969518541,149.1,15.57,4510.8
UZB,Uzbekistan,2022,5007.8,0.166170830104229,0.2523389565428274,0.1162367434891784,289.2,14.88,4774.4
UZB,Uzbekistan,2023,5343.6,0.1621288949141586,0.2394007508155184,0.1124837552797337,139.8,15.97,5007.8
